﻿Title:,Table 1 - HE student enrolments by HE provider
Subtitle:,2016/17
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2018
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,First year marker,All 
,Mode of study,All 
,Level of study,All 
Search:,


"UKPRN","HE Provider","Female","Male","Other","Total"
"10007807","University of Ulster","13,810","10,835","0","24,640"
"10007784","University College London","21,845","16,060","0","37,905"
"10007793","University of South Wales","12,760","10,660","45","23,465"
"10008574","The University of Wales (central functions)","0","5","0","5"
"10007163","The University of Warwick","12,540","12,455","50","25,045"
"10007164","University of the West of England, Bristol","15,565","12,315","0","27,880"
"10007800","The University of the West of Scotland","10,190","5,755","10","15,955"
"10006566","The University of West London","6,405","3,965","20","10,390"
"10007165","The University of Westminster","11,675","7,980","0","19,650"
"10003614","The University of Winchester","5,075","2,455","10","7,540"
"10007166","The University of Wolverhampton","12,115","7,445","0","19,560"
"10007139","University of Worcester","7,185","3,560","0","10,745"
"10007657","Writtle University College","590","190","0","775"
"10007713","York St John University","4,080","1,860","0","5,940"
"10007167","The University of York","10,025","7,865","10","17,900"
"","Total","1,314,035","1,002,820","1,025","2,317,880"
