﻿Title:,Table T1 – Participation of under-represented groups in higher education
Subtitle:,UK domiciled young full-time undergraduate entrants 2016/17
Reference ID:,UKPIs Table T1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/ukpis/widening-participation/table-t1
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2018
Filters:,Country of HE provider,Choose a value... 
,Level of study,First degree (T1a) 
Search:,


"UKPRN","HE provider","Total full-time entrants","Number who are young","Percentage who are young","Number with known school data","Percentage with known school data","Number from state schools or colleges","Percentage from state schools or colleges","Benchmark (%)","Standard deviation (%)","+/-","Location adjusted benchmark (%)","Standard deviation (%)","+/-","HE provider average contribution to benchmark (%)","HE provider average contribution to benchmark - Location adjusted (%)","Average number of HE providers in comparison","Average number of HE providers in comparison - Location adjusted"
"10003614","The University of Winchester","1,925","1,655","85.9","1,630","98.5","1,560","95.6","93.8","0.63","","92.1","0.60","+","1.7","5.7","95.3","49.9"
"10007166","The University of Wolverhampton","4,740","2,600","54.8","2,545","97.9","2,500","98.3","97.0","0.45","","97.4","0.43","","2.7","12.7","96.4","54.2"
"10007139","University of Worcester","2,470","1,625","65.7","1,620","99.7","1,570","97.0","95.5","0.60","","95.7","0.58","","1.3","6.4","97.9","50.0"
"10007657","Writtle University College","175","130","75.0","130","100.0","125","95.5","90.0","2.15","","90.1","1.96","","7.2","20.3","36.8","17.9"
"10007713","York St John University","1,810","1,630","90.0","1,620","99.6","1,565","96.5","94.1","0.61","","95.4","0.59","","1.5","6.4","97.1","38.5"
"10007167","The University of York","3,795","3,520","92.8","3,430","97.4","2,815","82.1","83.8","0.57","","84.2","0.54","","3.1","5.3","83.7","37.3"
"10007773","The Open University Total","0","0","","0","","0","","","","","","","","","","",""
"","Total England","346,515","274,450","79.2","269,055","98.0","242,060","90.0","","","","","","","","","",""
"","Total Northern Ireland","9,290","7,275","78.3","7,235","99.4","7,170","99.2","","","","","","","","","",""
"","Total Scotland","34,140","25,890","75.8","25,190","97.3","21,790","86.5","","","","","","","","","",""
"","Total Wales","21,455","16,955","79.0","16,345","96.4","15,050","92.1","","","","","","","","","",""
"","Total UK","411,400","324,570","78.9","317,830","97.9","286,070","90.0","","","","","","","","","",""
