﻿Title:,Table 19 - HE qualifiers by HE provider and subject of study
Subtitle:,2016/17
Reference ID:,DT051 Table 19
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-19
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-19.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2018
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
Search:,


"UKPRN","HE provider","(1) Medicine and dentistry","(2) Subjects allied to medicine","(3) Biological sciences","(4) Veterinary science","(5) Agriculture and related subjects","(6) Physical sciences","(7) Mathematical sciences","(8) Computer science","(9) Engineering and technology","(A) Architecture, building and planning","(B) Social studies","(C) Law","(D) Business and administrative studies","(E) Mass communications and documentation","(F) Languages","(G) Historical and philosophical studies","(H) Creative arts and design","(I) Education","(J) Combined","Subject area total"
"10007820","Grŵp Llandrillo Menai","0","0","10","0","20","0","0","40","20","10","80","0","60","30","5","0","45","0","0","325"
"10007162","University of the Arts, London","0","45","20","0","0","15","0","20","15","80","0","0","550","835","0","50","4,795","105","0","6,530"
"10007769","London Business School","0","0","0","0","0","0","0","0","0","0","0","0","1,045","0","0","0","0","0","0","1,045"
"10007797","University of London (Institutes and activities)","0","0","0","0","0","0","0","0","0","0","10","10","10","0","5","20","0","0","0","55"
"10004048","London Metropolitan University","0","180","345","0","20","35","40","200","55","420","700","260","600","165","95","0","340","450","0","3,905"
"10004078","London South Bank University","0","1,595","340","0","40","35","0","65","680","710","295","200","1,145","80","20","0","300","175","0","5,690"
"10004063","London School of Economics and Political Science","0","0","125","0","0","25","390","0","0","0","2,985","530","1,370","190","0","490","0","0","0","6,105"
"10007771","London School of Hygiene and Tropical Medicine","855","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","855"
"10004113","Loughborough University","0","110","660","0","0","360","155","145","1,250","200","450","0","1,250","205","110","55","400","100","0","5,450"
"10004180","The Manchester Metropolitan University","5","695","1,115","0","20","260","85","400","305","295","790","435","2,590","340","260","265","965","1,685","0","10,510"
"10007798","The University of Manchester","780","1,305","950","0","0","1,030","530","470","2,315","200","1,610","495","2,645","45","865","605","240","650","0","14,740"
"10004351","Middlesex University","0","1,755","485","0","35","5","10","375","65","95","555","145","1,675","195","70","20","805","910","10","7,205"
"10007799","Newcastle University","855","590","540","0","150","315","170","325","1,265","385","615","220","1,525","280","630","295","205","265","135","8,760"
"10007832","Newman University","0","75","105","0","0","0","0","0","0","0","105","0","40","0","30","75","20","545","0","1,000"
"10007138","The University of Northampton","0","500","310","0","5","70","0","175","130","10","340","75","1,235","75","40","45","355","885","0","4,245"
"10009614","Grŵp NPTC Group","0","0","0","0","0","0","0","15","5","25","0","0","0","0","0","0","0","0","0","45"
"10001282","University of Northumbria at Newcastle","0","1,390","1,145","0","30","250","45","390","415","540","615","800","1,720","180","295","110","800","480","0","9,210"
"10004775","Norwich University of the Arts","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","660","15","0","695"
"10007154","University of Nottingham","785","1,650","905","285","165","585","370","275","1,050","395","1,010","475","940","50","840","590","130","655","0","11,170"
"10004797","The Nottingham Trent University","0","20","1,045","0","425","325","105","275","170","385","860","835","1,555","335","240","240","1,390","800","35","9,035"
"10007773","The Open University","0","550","1,845","0","0","520","665","645","685","0","1,780","630","1,680","0","1,360","1,815","175","1,380","3,510","17,245"
"10004930","Oxford Brookes University","0","975","375","0","120","15","25","130","380","430","415","245","1,220","210","310","195","215","810","0","6,060"
"10007774","The University of Oxford","420","335","510","0","20","795","380","255","215","15","1,155","565","710","10","1,040","1,230","210","295","0","8,170"
"10005127","Plymouth College of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","305","0","0","305"
"10007801","University of Plymouth","115","1,170","580","0","110","535","55","265","535","140","565","110","1,260","5","85","145","575","835","0","7,080"
"10007155","The University of Portsmouth","0","510","675","0","0","385","155","450","820","265","1,085","210","1,460","175","545","60","460","420","0","7,660"
"10005337","Queen Margaret University, Edinburgh","0","735","100","0","0","0","0","0","0","0","25","0","260","95","0","0","130","0","0","1,355"
"10007775","Queen Mary University of London","895","165","470","0","0","290","285","275","535","0","710","1,060","1,305","65","445","225","95","5","0","6,830"
"10005389","Ravensbourne","0","0","0","0","0","0","0","0","30","55","0","0","20","55","0","0","495","0","0","660"
"10007802","The University of Reading","0","660","490","0","235","320","105","180","55","185","370","345","1,785","5","325","240","205","605","0","6,105"
"10005500","The Robert Gordon University","0","755","95","0","0","75","0","230","345","205","290","260","1,130","215","0","0","220","45","0","3,870"
"10007776","Roehampton University","0","125","525","0","0","0","10","0","0","0","155","5","310","80","215","155","330","645","0","2,550"
"10005523","Rose Bruford College of Theatre and Performance","0","0","0","0","0","0","0","5","10","0","0","0","0","0","0","0","205","0","0","220"
"10007835","Royal Academy of Music","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","0","0","300"
"10005545","Royal Agricultural University","0","0","0","0","330","0","0","0","0","80","0","0","70","0","0","0","0","0","0","480"
"10007777","Royal College of Art","0","0","0","0","0","0","0","0","0","55","0","0","0","0","0","30","695","0","0","780"
"10007778","Royal College of Music","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","290","0","0","300"
"10005561","Royal Conservatoire of Scotland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","325","20","0","350"
"10007816","The Royal Central School of Speech and Drama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","485","0","0","485"
"10005553","Royal Holloway and Bedford New College","0","0","480","0","0","265","85","225","0","0","660","0","780","80","350","325","315","30","0","3,590"
"10007837","Royal Northern College of Music","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","285","0","0","285"
"10007779","The Royal Veterinary College","0","0","10","330","165","0","0","0","0","0","0","0","0","0","0","0","0","15","0","520"
"10007803","The University of St Andrews","150","40","295","0","5","305","140","110","0","0","525","0","280","15","360","455","45","0","20","2,745"
"10007782","St George's, University of London","275","965","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,275"
"10008026","St Mary's University College","0","0","0","0","0","0","0","0","0","0","95","0","0","0","0","0","0","180","0","275"
"10007843","St Mary's University, Twickenham","0","125","465","0","0","10","0","0","0","0","50","45","65","45","50","120","110","835","0","1,910"
"10007156","The University of Salford","0","1,535","475","0","0","140","20","200","570","405","525","135","915","340","110","20","625","65","0","6,075"
"10007780","SOAS University of London","0","0","0","0","5","0","0","0","0","0","1,055","245","135","50","590","290","40","15","110","2,540"
